"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CPA5",1.98763859462022,-0.348747039007478,1.20564945854755,-0.289260727100241,0.772381863492293,NA
"CPAMD8",2.75376789894039,0.500762895566703,0.79242591955457,0.63193654221733,0.527428343958992,NA
"CPB2-AS1",40.6378031162635,0.294899227965256,0.270951442818539,1.08838404733189,0.276425600654476,NA
"CPD",41.2320922398315,0.228456104195659,0.199256745790296,1.14654137951291,0.2515712159158,NA
"CPE",56.6942877163304,-0.0338335906029298,0.205170762268977,-0.16490454209345,0.869019117274536,NA
"CPEB1",3.31323158629247,0.511525343541532,0.793130130882195,0.644945039438314,0.518962802947749,NA
"CPEB1-AS1",0.507098238867636,1.63499028009662,3.19328969609533,0.512008128199531,0.608645320910669,NA
"CPEB2",51.6218570775919,0.339046422982492,0.217370286196482,1.55976434918996,0.118815579150739,NA
"CPEB3",4.4669749436424,-0.201421502760446,0.519604066372273,-0.387644200259465,0.698279354570999,NA
"CPEB4",36.1292444422506,-0.0448633190495696,0.324640469487098,-0.138193858333342,0.890087208866993,NA
"CPED1",4.9562215828256,1.03637287014542,0.734762733269682,1.41048643761991,0.158396098313718,NA
"CPLANE1",62.7830254746213,0.0297415925477243,0.209959305958809,0.141654081070163,0.88735324707959,NA
"CPLANE2",3.3885326611586,1.23192191405146,0.903213433787612,1.36393223126168,0.172588895527413,NA
"CPLX1",4.20121745390776,-0.153571301189784,0.642290125883105,-0.239099582884968,0.811028365206695,NA
"CPM",23.0495504468164,0.390416206413967,0.517989634765379,0.753714322084465,0.451020780077579,NA
"CPNE1",215.339462977618,0.3505997512168,0.114965884653011,3.04959816796937,0.00229147730784307,0.0873252113184544
"CPNE2",26.4714394154857,-0.256298377810879,0.245780772644658,-1.04279262797105,0.297044346392315,NA
"CPNE3",328.343589864729,-0.0912336860516893,0.144878145537317,-0.629727042083031,0.528873186657202,0.838782982210103
"CPNE4",8.49865748370705,-0.62121541825712,0.481942849115096,-1.28898150350762,0.19740451700736,NA
"CPNE7",38.8755329034822,0.688255328047422,0.182192602855438,3.77762498180854,0.000158331053858844,NA
